province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,doy,et0_penman_monteith,et0_hargreaves
Chau Doc,33,24,11,SE,0.2,67,21,1012,2016-01-12,12,21.086172319807304,4.085697626648345
Chau Doc,32,24,7,WSW,5.4,79,32,1008,2017-01-12,12,10.518728022327604,3.8104340386978244
Chau Doc,30,21,18,ENE,0.0,60,12,1013,2018-01-12,12,36.541223398426055,3.8209655990037446
Chau Doc,33,24,7,ESE,2.9,71,44,1012,2019-01-12,12,13.673669365425397,4.085697626648345
Chau Doc,33,23,8,SE,2.5,74,67,1010,2020-01-12,12,13.991098379847484,4.2601947671537
Chau Doc,28,20,21,E,0.0,57,8,1012,2021-01-12,12,43.581815871118195,3.477645039684914
Chau Doc,28,18,20,NNE,0.0,57,1,1017,2009-01-14,14,43.353130403349176,3.810265916682879
Chau Doc,32,22,15,NE,0.0,52,25,1016,2010-01-14,14,38.01033963670819,4.183821398710612
Chau Doc,32,22,7,NNE,0.0,59,23,1010,2011-01-14,14,18.527227647145992,4.183821398710612
Chau Doc,31,24,9,ENE,2.2,74,52,1008,2012-01-14,14,14.598911894635563,3.5395034898972138
Chau Doc,32,23,7,ESE,2.7,75,38,1011,2013-01-14,14,12.24722515718953,4.013419713819963
Chau Doc,31,20,15,ESE,0.0,58,18,1013,2014-01-14,14,34.252602824012236,4.241108291568877
Chau Doc,31,21,11,E,0.0,60,8,1013,2015-01-14,14,25.73059714815734,4.09043252820368
Chau Doc,34,25,11,ESE,0.0,66,30,1011,2016-01-14,14,21.51729095771428,4.190612637167423
Chau Doc,33,25,12,SSE,7.6,70,37,1008,2017-01-14,14,20.357126269343993,3.909182711530415
Chau Doc,30,20,12,SW,0.0,64,66,1012,2018-01-14,14,25.15843616056125,3.9970436576967456
Chau Doc,34,24,5,SSW,0.0,65,11,1010,2019-01-14,14,12.621182718571246,4.370599139724479
Chau Doc,34,22,5,SE,0.0,62,11,1010,2020-01-14,14,13.89233177381073,4.685449095286388
Chau Doc,31,20,7,WSW,0.0,60,4,1011,2021-01-14,14,18.61050424083732,4.241108291568877
Chau Doc,27,18,18,E,0.0,58,17,1014,2009-01-11,11,39.23610521324719,3.549500707615932
Chau Doc,34,24,7,S,0.6,68,21,1012,2010-01-11,11,14.945528341901788,4.3449703712693095
Chau Doc,33,21,12,E,0.0,59,8,1009,2011-01-11,11,28.363169331456696,4.556271586530074
Chau Doc,30,22,20,NNE,0.0,68,45,1011,2012-01-11,11,31.475872229224617,3.637140436193792
Chau Doc,32,24,9,E,0.5,67,29,1011,2013-01-11,11,18.02594919773913,3.8032199081661107
Chau Doc,33,23,6,E,0.8,63,43,1013,2014-01-11,11,15.090234460950139,4.252129124019966
Chau Doc,33,24,6,SSE,0.0,68,16,1012,2015-01-11,11,13.233872517100615,4.0779623514297185
Chau Doc,33,24,6,SSE,0.1,69,31,1013,2016-01-11,11,12.919907093170359,4.0779623514297185
Chau Doc,32,23,6,SSE,8.1,80,38,1010,2017-01-11,11,9.389806018494586,3.9898854107940878
Chau Doc,31,23,13,ENE,0.3,67,23,1012,2018-01-11,11,23.78136146149702,3.7201801721799517
Chau Doc,32,23,7,ESE,0.3,73,38,1012,2019-01-11,11,12.9852378932856,3.9898854107940878
Chau Doc,32,24,9,SSW,1.0,71,60,1009,2020-01-11,11,16.14695825413986,3.8032199081661107
Chau Doc,31,21,12,ESE,0.0,63,20,1011,2021-01-11,11,25.543991894205117,4.066446629521278
Chau Doc,28,19,19,ENE,0.0,59,5,1017,2009-01-15,15,39.51095395852645,3.666678744220965
Chau Doc,32,22,11,NE,0.0,56,19,1015,2010-01-15,15,27.833264478077282,4.192562722662763
Chau Doc,32,22,9,NE,0.0,58,20,1011,2011-01-15,15,22.896251158511376,4.192562722662763
Chau Doc,32,24,11,ESE,4.7,76,45,1007,2012-01-15,15,15.89611200403988,3.8336461638347648
Chau Doc,32,23,7,ESE,2.8,73,32,1012,2013-01-15,15,13.010933456842311,4.021805014847693
